Item,Division
Flashing  Windows and Doors,THERMAL AND MOISTURE PROTECTION
 Thermax Wall Insulation,THERMAL AND MOISTURE PROTECTION
Roofing  Allowance,THERMAL AND MOISTURE PROTECTION
Main Roof (Insulation & TPO),THERMAL AND MOISTURE PROTECTION
Waterproofing  Insulation,THERMAL AND MOISTURE PROTECTION
TPO Roof over tapered Insulation Board,THERMAL AND MOISTURE PROTECTION
Pavers upper floors w pedestal system,THERMAL AND MOISTURE PROTECTION
Corrugated Metal Siding,THERMAL AND MOISTURE PROTECTION
Carport Metal  Roofing,THERMAL AND MOISTURE PROTECTION
Sealants and Caulking,THERMAL AND MOISTURE PROTECTION
Joint Sealants,THERMAL AND MOISTURE PROTECTION
Building Insulation,THERMAL AND MOISTURE PROTECTION
Flashing,THERMAL AND MOISTURE PROTECTION
Caulking Tilt Panels  Interior,THERMAL AND MOISTURE PROTECTION
Roofing and insulation included in Metal Building line item above,THERMAL AND MOISTURE PROTECTION
Downspouts  Scuppers,THERMAL AND MOISTURE PROTECTION
Roofing Material  Allowance,THERMAL AND MOISTURE PROTECTION
Caulking & Sealants,THERMAL AND MOISTURE PROTECTION
Warehouse Roof and Wall Insulation,THERMAL AND MOISTURE PROTECTION
Column Iso Caulking,THERMAL AND MOISTURE PROTECTION
Spray Insulation,THERMAL AND MOISTURE PROTECTION
Asphalt Shingles,THERMAL AND MOISTURE PROTECTION
Corrugated Metal Siding  Allowance,THERMAL AND MOISTURE PROTECTION
SinglePly Roofing,THERMAL AND MOISTURE PROTECTION
TPO Roofing  Gutters & Downspouts  Metal Flashing,THERMAL AND MOISTURE PROTECTION
Insulation Materials,THERMAL AND MOISTURE PROTECTION
 ROOFING & FLASHING,THERMAL AND MOISTURE PROTECTION
CO #1  Wall Insulation Changes,THERMAL AND MOISTURE PROTECTION
 SEALANTS & CAULKING,THERMAL AND MOISTURE PROTECTION
Waterproofing Walls,THERMAL AND MOISTURE PROTECTION
Fireproofing,THERMAL AND MOISTURE PROTECTION
PCCP Caulking,THERMAL AND MOISTURE PROTECTION
singleply 45 mil EPDM membrane loose laid ballasted roofing system,THERMAL AND MOISTURE PROTECTION
Roofing and Metal Panels,THERMAL AND MOISTURE PROTECTION
Membrane Roofing  Campbell,THERMAL AND MOISTURE PROTECTION
Roof Material Escalation  Allowance,THERMAL AND MOISTURE PROTECTION
Gutters & Downspouts  Allowance,THERMAL AND MOISTURE PROTECTION
Roofing Accessories,THERMAL AND MOISTURE PROTECTION
Shingles (Tamko Heritage series architectural shingles),THERMAL AND MOISTURE PROTECTION
Roofing Materials & Labor (composite shingle roofing),THERMAL AND MOISTURE PROTECTION
55 R20 of open cell foam applied to Roof Deck,THERMAL AND MOISTURE PROTECTION
Sheet Metal Roofing & Flashing,THERMAL AND MOISTURE PROTECTION
APT  Insulation,THERMAL AND MOISTURE PROTECTION
Dampproofing,THERMAL AND MOISTURE PROTECTION
Foam Roofing,THERMAL AND MOISTURE PROTECTION
Insulation  Phase 2  Allowance,THERMAL AND MOISTURE PROTECTION
Roof  Shopdrawing,THERMAL AND MOISTURE PROTECTION
TPO Roofing,THERMAL AND MOISTURE PROTECTION
Sprayed Thermal Insulation,THERMAL AND MOISTURE PROTECTION
Alt #11  Provide roof overflow drains that exit the building at 18 AFF) in lieu ADD at the roof deck,THERMAL AND MOISTURE PROTECTION
 Aluminum Composite Metal Panels,THERMAL AND MOISTURE PROTECTION
Intumescent Paint Fireproofing,THERMAL AND MOISTURE PROTECTION
Flashing  Foundation,THERMAL AND MOISTURE PROTECTION
Under Deck Insulation,THERMAL AND MOISTURE PROTECTION
insulation in sound walls,THERMAL AND MOISTURE PROTECTION
Roofing Labor,THERMAL AND MOISTURE PROTECTION
THERMAL AND MOISTURE PROTECTION TOTAL,THERMAL AND MOISTURE PROTECTION
Metal Wall Panels,THERMAL AND MOISTURE PROTECTION
Hail Protection,THERMAL AND MOISTURE PROTECTION
Shell Roofing Membrane  Insulation,THERMAL AND MOISTURE PROTECTION
Sealants (Allowance),THERMAL AND MOISTURE PROTECTION
Thermal  Moisture Protection,THERMAL AND MOISTURE PROTECTION
roofing and waterproofing,THERMAL AND MOISTURE PROTECTION
SprayFoam Insulation Below Podium,THERMAL AND MOISTURE PROTECTION
Garage Waterproofing (Tremco 240 FC),THERMAL AND MOISTURE PROTECTION
Roofing,THERMAL AND MOISTURE PROTECTION
Floor Sealer,THERMAL AND MOISTURE PROTECTION
Joint Sealants  Building,THERMAL AND MOISTURE PROTECTION
Metal Wall Panels  Hotel,THERMAL AND MOISTURE PROTECTION
Stucco,THERMAL AND MOISTURE PROTECTION
Joint Sealers Caulking,THERMAL AND MOISTURE PROTECTION
Concrete Sealing,THERMAL AND MOISTURE PROTECTION
 THERMAL & SOUND INSULATION,THERMAL AND MOISTURE PROTECTION
Caulking and Sealants,THERMAL AND MOISTURE PROTECTION
Roofing System,THERMAL AND MOISTURE PROTECTION
FiberCement Panels  Commercial Building,THERMAL AND MOISTURE PROTECTION
Thermal Insulation,THERMAL AND MOISTURE PROTECTION
Misc Flashing  Caulking  Sealants  Allowance,THERMAL AND MOISTURE PROTECTION
Solatube Skylights,THERMAL AND MOISTURE PROTECTION
Thermal & Moisture Protection & Fire Sealants,THERMAL AND MOISTURE PROTECTION
Roofing  Turnkey,THERMAL AND MOISTURE PROTECTION
Damproofing and Waterproofing,THERMAL AND MOISTURE PROTECTION
Thermal and Moisture Protection,THERMAL AND MOISTURE PROTECTION
Roof Insulation,THERMAL AND MOISTURE PROTECTION
Pedestal Pavers @ Rooftop Amenity Deck (Ipe 24x24),THERMAL AND MOISTURE PROTECTION
Exterior Waterproofing,THERMAL AND MOISTURE PROTECTION
LEASING OFFICE  CLUBHOUSE  ROOFING & FLASHING,THERMAL AND MOISTURE PROTECTION
ROOFING & SHEET METAL,THERMAL AND MOISTURE PROTECTION
SEALANTS,THERMAL AND MOISTURE PROTECTION
TPO Roof System,THERMAL AND MOISTURE PROTECTION
Roofing and Sheet Metal,THERMAL AND MOISTURE PROTECTION
Install 60 mil white fleece back TPO roof membrane with integrated gutter system,THERMAL AND MOISTURE PROTECTION
Gutters & Downspouts (6 box gutters),THERMAL AND MOISTURE PROTECTION
Metal Roof  Standing Seam  Flat Roofs,THERMAL AND MOISTURE PROTECTION
Roof Membrane,THERMAL AND MOISTURE PROTECTION
Single Ply Roofing Insulation & Flashings,THERMAL AND MOISTURE PROTECTION
Roof Package ,THERMAL AND MOISTURE PROTECTION
Roofing Materials & Labor (60 mil TPO  mechanically fastened),THERMAL AND MOISTURE PROTECTION
Insulation & Polyseal,THERMAL AND MOISTURE PROTECTION
 FIREPROOFING,THERMAL AND MOISTURE PROTECTION
CLUB  Roofing and Cupola,THERMAL AND MOISTURE PROTECTION
Fascia & Soffit & Columns,THERMAL AND MOISTURE PROTECTION
Fireproofing Self Perform,THERMAL AND MOISTURE PROTECTION
Wall Insulation,THERMAL AND MOISTURE PROTECTION
Weatherstripping,THERMAL AND MOISTURE PROTECTION
Exterior Finish Systems (EIFS),THERMAL AND MOISTURE PROTECTION
 Insulation  Floor and Ceiling,THERMAL AND MOISTURE PROTECTION
Install flashing for windows all exterior doors and garage doors,THERMAL AND MOISTURE PROTECTION
Fireproofing  Intumescent Paint,THERMAL AND MOISTURE PROTECTION
Waterproofing,THERMAL AND MOISTURE PROTECTION
Waterproofing  Dampproofing,THERMAL AND MOISTURE PROTECTION
ThermalMoisture Protection,THERMAL AND MOISTURE PROTECTION
Sealants and Caulking  Site,THERMAL AND MOISTURE PROTECTION
Glass & Glazing Repairs,THERMAL AND MOISTURE PROTECTION
FiberCement Panels  Hotel,THERMAL AND MOISTURE PROTECTION
Sheetmetal Roofing,THERMAL AND MOISTURE PROTECTION
Applied Fireproofing,THERMAL AND MOISTURE PROTECTION
1 gray K13 spray insulation,THERMAL AND MOISTURE PROTECTION
Waterproofing Air Barriers and Moisture Protection,THERMAL AND MOISTURE PROTECTION
BuyOut  VE  Cost Savings,THERMAL AND MOISTURE PROTECTION
Miscellaneous Waterproofing,THERMAL AND MOISTURE PROTECTION
Tilt Panel Caulking  Exterior,THERMAL AND MOISTURE PROTECTION
Stucco (moved from Finishes),THERMAL AND MOISTURE PROTECTION
VE  Delete Soffit Panels at Exterior Walkways and Canopies,THERMAL AND MOISTURE PROTECTION
Roof Walkway Pads,THERMAL AND MOISTURE PROTECTION
Garage Waterproofing,THERMAL AND MOISTURE PROTECTION
Damproofing,THERMAL AND MOISTURE PROTECTION
Fiber Cement Panels,THERMAL AND MOISTURE PROTECTION
2 layer bitumen waterproofing at Balcony 2 3 and 4,THERMAL AND MOISTURE PROTECTION
Insulation & Polyseal (OpenCell Spray foam with sounds batts),THERMAL AND MOISTURE PROTECTION
Underslab Insulation and Vapor Barriers,THERMAL AND MOISTURE PROTECTION
Window Flashing,THERMAL AND MOISTURE PROTECTION
Spray Insulation (incl Allowance of $49000 for protective coating),THERMAL AND MOISTURE PROTECTION
Weatherization  Allowance,THERMAL AND MOISTURE PROTECTION
Envelpe Inspections,THERMAL AND MOISTURE PROTECTION
Div 7  Thermal & Mosture Protection  Comparable Pricing,THERMAL AND MOISTURE PROTECTION
APT  Roof Inspections,THERMAL AND MOISTURE PROTECTION
 WATERPROOFING & DAMPROOFING,THERMAL AND MOISTURE PROTECTION
Gutters & Downspouts,THERMAL AND MOISTURE PROTECTION
Shingles  Maintenance Building,THERMAL AND MOISTURE PROTECTION
PVC Roofing,THERMAL AND MOISTURE PROTECTION
Fiber Cement Siding (Nichiha),THERMAL AND MOISTURE PROTECTION
Waterproofing Decks  Allowance,THERMAL AND MOISTURE PROTECTION
Roof Coverings,THERMAL AND MOISTURE PROTECTION
Structural Fireproofing (sprayapplied intumescent paint),THERMAL AND MOISTURE PROTECTION
Snow Retention,THERMAL AND MOISTURE PROTECTION
Div 7  Thermal & Moisture Protection  Comparable Pricing,THERMAL AND MOISTURE PROTECTION
Cap Flashing & Parapet Walls,THERMAL AND MOISTURE PROTECTION
TPO Membrane Roofing (fullyadhered Firestone 60mil),THERMAL AND MOISTURE PROTECTION
Wall PanelsSun Shades,THERMAL AND MOISTURE PROTECTION
Waterproofing & Traffic Coating,THERMAL AND MOISTURE PROTECTION
Garage Waterproofing (includes traffic coating firestopping EJs),THERMAL AND MOISTURE PROTECTION
Caulking  Waterproofing  Allowance,THERMAL AND MOISTURE PROTECTION
Waterproofing  Damproofing,THERMAL AND MOISTURE PROTECTION
Insulation and Soundproofing  Allowance,THERMAL AND MOISTURE PROTECTION
Double layer Batt insulation at Media Room walls,THERMAL AND MOISTURE PROTECTION
Fireproofing  Intumescent Paint (intumescent paint at structural steel),THERMAL AND MOISTURE PROTECTION
Caulking  Waterproofing  Phase 2  Allowance,THERMAL AND MOISTURE PROTECTION
Waterproofing Foundation  Allowance,THERMAL AND MOISTURE PROTECTION
 Roofing Membrane,THERMAL AND MOISTURE PROTECTION
Fireproofing and Firestopping,THERMAL AND MOISTURE PROTECTION
Sheet Metal,THERMAL AND MOISTURE PROTECTION
VE  Add new metal detail under all Canopies,THERMAL AND MOISTURE PROTECTION
Comparable Pricing  THERMAL AND MOISTURE PROTECTION,THERMAL AND MOISTURE PROTECTION
Gutters  Downspouts  Heat Tape  Allowance,THERMAL AND MOISTURE PROTECTION
Joint Sealants  Site,THERMAL AND MOISTURE PROTECTION
Joint Sealers,THERMAL AND MOISTURE PROTECTION
Thermal & Moisture Protectioin,THERMAL AND MOISTURE PROTECTION
Roofing Materials & Labor (mechanically fastened TPO),THERMAL AND MOISTURE PROTECTION
Gutters  Downspouts,THERMAL AND MOISTURE PROTECTION
Membrane Roofing,THERMAL AND MOISTURE PROTECTION
VE  Delete Exterior Weather Barrier at Zipwall Locations,THERMAL AND MOISTURE PROTECTION
Miscellanious Roof (Gutters Trim Parapet Cap Ladder Etc),THERMAL AND MOISTURE PROTECTION
Fire Proofing for Structural Steel,THERMAL AND MOISTURE PROTECTION
Sheet Metal Flashing and Trim,THERMAL AND MOISTURE PROTECTION
Roofing Materials & Labor,THERMAL AND MOISTURE PROTECTION
Roof Allowance,THERMAL AND MOISTURE PROTECTION
Membrane Roofing  Robert McNutt,THERMAL AND MOISTURE PROTECTION
Roofing  Ballast  Dry In,THERMAL AND MOISTURE PROTECTION
Gutters and Downspouts,THERMAL AND MOISTURE PROTECTION
Tyvek and Thermo Wrap,THERMAL AND MOISTURE PROTECTION
 Roofing  Felt I&W Shield Metal Flashing & Gutters,THERMAL AND MOISTURE PROTECTION
Decorative Sheet Metal Work,THERMAL AND MOISTURE PROTECTION
 Van Loading Canopy Roof,THERMAL AND MOISTURE PROTECTION
 Waterproofing,THERMAL AND MOISTURE PROTECTION
LEASING OFFICE  CLUBHOUSE  CABINETS,"WOOD, PLASTICS, AND COMPOSITES"
WOOD & PLASTICS,"WOOD, PLASTICS, AND COMPOSITES"
Woods Plastics & Composites,"WOOD, PLASTICS, AND COMPOSITES"
APT  Rough Framing Materials,"WOOD, PLASTICS, AND COMPOSITES"
Lumber Material,"WOOD, PLASTICS, AND COMPOSITES"
Hardware Materials,"WOOD, PLASTICS, AND COMPOSITES"
Finish Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Frame Material,"WOOD, PLASTICS, AND COMPOSITES"
Roof Blocking,"WOOD, PLASTICS, AND COMPOSITES"
Lobby Fitness Room & Core Restroom Millwork  Allowances,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Materials,"WOOD, PLASTICS, AND COMPOSITES"
Material for Dry Sauna  Western Red Cedar,"WOOD, PLASTICS, AND COMPOSITES"
Shell Rough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Trim Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Cabinet and Countertop,"WOOD, PLASTICS, AND COMPOSITES"
Wood,"WOOD, PLASTICS, AND COMPOSITES"
Millwork and Countertops,"WOOD, PLASTICS, AND COMPOSITES"
Floor Trusses,"WOOD, PLASTICS, AND COMPOSITES"
WOOD PLASTICS AND COMPOSITES TOTAL,"WOOD, PLASTICS, AND COMPOSITES"
Exterior Blocking  Shell,"WOOD, PLASTICS, AND COMPOSITES"
Interior Woodwork  Stuck,"WOOD, PLASTICS, AND COMPOSITES"
Porch Ceilings,"WOOD, PLASTICS, AND COMPOSITES"
Awnings & Overhangs,"WOOD, PLASTICS, AND COMPOSITES"
Woods & Plastic,"WOOD, PLASTICS, AND COMPOSITES"
#15  Wood ext deck  stairs  metal railings (West Side),"WOOD, PLASTICS, AND COMPOSITES"
     Architectural MillworkMaterial,"WOOD, PLASTICS, AND COMPOSITES"
Carpentry Self Perform,"WOOD, PLASTICS, AND COMPOSITES"
APT  Interior Trim (M&L),"WOOD, PLASTICS, AND COMPOSITES"
Cabinets  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Cabinets,"WOOD, PLASTICS, AND COMPOSITES"
Wood Framing  Rough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Exterior Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Kitchen  Bath Cabinets ‐ Material  Labor,"WOOD, PLASTICS, AND COMPOSITES"
Woods Plastics and Composites,"WOOD, PLASTICS, AND COMPOSITES"
Millwork,"WOOD, PLASTICS, AND COMPOSITES"
Material for paintgrade cabinetry,"WOOD, PLASTICS, AND COMPOSITES"
Rough Lumber  Builders First Source,"WOOD, PLASTICS, AND COMPOSITES"
APT  Rough Framing Labor,"WOOD, PLASTICS, AND COMPOSITES"
Architectural Woodwork  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Interior Trim Installation  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Amenity Millwork,"WOOD, PLASTICS, AND COMPOSITES"
custom staircase at Guest House,"WOOD, PLASTICS, AND COMPOSITES"
cabinetry trim paneling and ceiling treatments (Allowance),"WOOD, PLASTICS, AND COMPOSITES"
Interior trim material,"WOOD, PLASTICS, AND COMPOSITES"
Install Dry Sauna,"WOOD, PLASTICS, AND COMPOSITES"
Amenity Cabinets,"WOOD, PLASTICS, AND COMPOSITES"
Framing Labor,"WOOD, PLASTICS, AND COMPOSITES"
Interior Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Cabinets  Casework,"WOOD, PLASTICS, AND COMPOSITES"
     Architectural MillworkLabor,"WOOD, PLASTICS, AND COMPOSITES"
Amenity Finish Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
22 treads for Guest House Stairs (Allowance),"WOOD, PLASTICS, AND COMPOSITES"
#17  3rd flr At West End (Studs  Drywall  Paint  No Ceiling),"WOOD, PLASTICS, AND COMPOSITES"
Punch Carpenter,"WOOD, PLASTICS, AND COMPOSITES"
CLUB  Interior Trim (M&L),"WOOD, PLASTICS, AND COMPOSITES"
Cabinets Turnkey,"WOOD, PLASTICS, AND COMPOSITES"
Trim Carpentry Labor  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Furnish rough hardware as needed (Allowance),"WOOD, PLASTICS, AND COMPOSITES"
Int Millwork,"WOOD, PLASTICS, AND COMPOSITES"
Cabinets & Built Ins,"WOOD, PLASTICS, AND COMPOSITES"
Unit Wire Shelving,"WOOD, PLASTICS, AND COMPOSITES"
Framing Decking Exterior Trim (incl outdoor decking siding),"WOOD, PLASTICS, AND COMPOSITES"
(Shaker door frameless full overlay thermofoil finish),"WOOD, PLASTICS, AND COMPOSITES"
SubFloor System,"WOOD, PLASTICS, AND COMPOSITES"
Div 6  Woods 7 Plastics  Comparable Pricing,"WOOD, PLASTICS, AND COMPOSITES"
Frame Labor,"WOOD, PLASTICS, AND COMPOSITES"
Woods & Plastics,"WOOD, PLASTICS, AND COMPOSITES"
#9  Buildout 2nd flr wood stud walls,"WOOD, PLASTICS, AND COMPOSITES"
SHEATHING REPLACEMENT ALLOWANCE (10%),"WOOD, PLASTICS, AND COMPOSITES"
Lumber Materials (includes cedartextured Hardie siding),"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Labor  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Truss Package,"WOOD, PLASTICS, AND COMPOSITES"
Roof  Floor  Trusses & Beams,"WOOD, PLASTICS, AND COMPOSITES"
Wood Framing Labor,"WOOD, PLASTICS, AND COMPOSITES"
Roof & Floor Trusses,"WOOD, PLASTICS, AND COMPOSITES"
Common Area  Finish Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Tools and Consumables  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Material Handling and Labor  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Framing Hardware  Accessories,"WOOD, PLASTICS, AND COMPOSITES"
Cabinets and Millwork,"WOOD, PLASTICS, AND COMPOSITES"
 EXTERIOR TRIM MATERIALS,"WOOD, PLASTICS, AND COMPOSITES"
 ROUGH CARPENTRY MATERIAL,"WOOD, PLASTICS, AND COMPOSITES"
Manufactured Cabinets & Tops,"WOOD, PLASTICS, AND COMPOSITES"
Div 6  Woods & Plastics  Comparable Pricing,"WOOD, PLASTICS, AND COMPOSITES"
Millwork (incl pews),"WOOD, PLASTICS, AND COMPOSITES"
Office  Rough Frame  M&L,"WOOD, PLASTICS, AND COMPOSITES"
Residential Finish Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Hardware,"WOOD, PLASTICS, AND COMPOSITES"
CLUB  Rough Framing Materials,"WOOD, PLASTICS, AND COMPOSITES"
Wood Framing,"WOOD, PLASTICS, AND COMPOSITES"
Doors  Trim Material,"WOOD, PLASTICS, AND COMPOSITES"
Architectural Woodwork,"WOOD, PLASTICS, AND COMPOSITES"
Reallocation for front door,"WOOD, PLASTICS, AND COMPOSITES"
Interior Woodwork  Campbell,"WOOD, PLASTICS, AND COMPOSITES"
 Rough Carpentry  Wood Framing Window Inst T&G Soffit & Hardie Facia,"WOOD, PLASTICS, AND COMPOSITES"
CLUB  Rough Framing Labor,"WOOD, PLASTICS, AND COMPOSITES"
Frame  Labor,"WOOD, PLASTICS, AND COMPOSITES"
Rough Lumber  Campbell,"WOOD, PLASTICS, AND COMPOSITES"
Miscellaneous Rough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
custom staircase at Main Stairs,"WOOD, PLASTICS, AND COMPOSITES"
Woods Plastics & Composites (Carpentry  Millwork),"WOOD, PLASTICS, AND COMPOSITES"
Trusses  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Structural Wood Framing,"WOOD, PLASTICS, AND COMPOSITES"
Lumber (Allowance),"WOOD, PLASTICS, AND COMPOSITES"
Roof Trusses,"WOOD, PLASTICS, AND COMPOSITES"
Millwork Material  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Baseboard,"WOOD, PLASTICS, AND COMPOSITES"
custom paintgrade cabinetry,"WOOD, PLASTICS, AND COMPOSITES"
Wood Framing Materials,"WOOD, PLASTICS, AND COMPOSITES"
 ROOF TRUSSES,"WOOD, PLASTICS, AND COMPOSITES"
Cabinets  Formica Countertops,"WOOD, PLASTICS, AND COMPOSITES"
Building Materials,"WOOD, PLASTICS, AND COMPOSITES"
Exterior Trim Installation,"WOOD, PLASTICS, AND COMPOSITES"
 TI Rough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry  Labor,"WOOD, PLASTICS, AND COMPOSITES"
Millwork Labor  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Cabinetry Labor,"WOOD, PLASTICS, AND COMPOSITES"
General Contractors Labor,"WOOD, PLASTICS, AND COMPOSITES"
#16  3rd flr At East End (Studs  Drywall  Paint  No Ceiling),"WOOD, PLASTICS, AND COMPOSITES"
 ROUGH CARPENTRY LABOR,"WOOD, PLASTICS, AND COMPOSITES"
Unit Interior Trim  Material,"WOOD, PLASTICS, AND COMPOSITES"
Architectural Millwork,"WOOD, PLASTICS, AND COMPOSITES"
Doors  Trim Labor,"WOOD, PLASTICS, AND COMPOSITES"
Cabinetry  Thermofoil,"WOOD, PLASTICS, AND COMPOSITES"
Trim Carpentry Materials  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
 MILLWORK,"WOOD, PLASTICS, AND COMPOSITES"
Parking Garages,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Material,"WOOD, PLASTICS, AND COMPOSITES"
Exterior Trim Material  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
 FLOOR TRUSSES,"WOOD, PLASTICS, AND COMPOSITES"
Kitchen  Bath Cabinets (shaker door full overlay frameless thermofoil),"WOOD, PLASTICS, AND COMPOSITES"
 EXTERIOR SOFFIT,"WOOD, PLASTICS, AND COMPOSITES"
Framing Hardware (includes Tyvek Home Wrap),"WOOD, PLASTICS, AND COMPOSITES"
Install 1x6 wood at exterior ceilings,"WOOD, PLASTICS, AND COMPOSITES"
#14  Wood ext deck  stairs  metal railings (East Side),"WOOD, PLASTICS, AND COMPOSITES"
Wood Plastics & Composites,"WOOD, PLASTICS, AND COMPOSITES"
Common Area  Millwork,"WOOD, PLASTICS, AND COMPOSITES"
ROUGH CARPENTRY  POOL AREA #1,"WOOD, PLASTICS, AND COMPOSITES"
Framing Lumber Materials,"WOOD, PLASTICS, AND COMPOSITES"
Finish Lumber,"WOOD, PLASTICS, AND COMPOSITES"
custom veneer cabinetry,"WOOD, PLASTICS, AND COMPOSITES"
SIPs (structural insulated panels),"WOOD, PLASTICS, AND COMPOSITES"
Finish Carpentry labor,"WOOD, PLASTICS, AND COMPOSITES"
Cabinets Incl Installation  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Shell Rough Carpentry (Install cost for canopy included),"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Labor,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Stick Frame,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry  Materials,"WOOD, PLASTICS, AND COMPOSITES"
Casework (No Cubbies),"WOOD, PLASTICS, AND COMPOSITES"
Framing Material,"WOOD, PLASTICS, AND COMPOSITES"
Rough Lumber,"WOOD, PLASTICS, AND COMPOSITES"
LEASING OFFICE  CLUBHOUSE  FINISH CARPENTRY,"WOOD, PLASTICS, AND COMPOSITES"
 FINISH CARPENTRY,"WOOD, PLASTICS, AND COMPOSITES"
Stairs & Railings,"WOOD, PLASTICS, AND COMPOSITES"
Trim Labor,"WOOD, PLASTICS, AND COMPOSITES"
Plywood at Stage,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Hardware  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Frame  Material,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Millwork Countertops,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry  Phase 2  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Trusses,"WOOD, PLASTICS, AND COMPOSITES"
Stairs  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Amenity Doors  Trim  Hardware,"WOOD, PLASTICS, AND COMPOSITES"
Wood Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
FINISH CARPENTRY  CORRIDORS,"WOOD, PLASTICS, AND COMPOSITES"
Architectural Woodwork  Phase 2  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
#5  Install plywood subfloor to exist 2nd flr Joists  gypcrete,"WOOD, PLASTICS, AND COMPOSITES"
Wood siding,"WOOD, PLASTICS, AND COMPOSITES"
InWall Blocking,"WOOD, PLASTICS, AND COMPOSITES"
Interior Cabinets  Office,"WOOD, PLASTICS, AND COMPOSITES"
Comparable Pricing  WOOD PLASTICS AND COMPOSITES,"WOOD, PLASTICS, AND COMPOSITES"
Wood Plastics Composites,"WOOD, PLASTICS, AND COMPOSITES"
 ROUGH CARPENTRY HW & COMPONENTS,"WOOD, PLASTICS, AND COMPOSITES"
 Shell Rough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
44 treads for Main Stairs and Back Stairs (Allowance),"WOOD, PLASTICS, AND COMPOSITES"
Labor,"WOOD, PLASTICS, AND COMPOSITES"
Installation of Interior Trim,"WOOD, PLASTICS, AND COMPOSITES"
Wood Plastics & Composites,"WOOD, PLASTICS, AND COMPOSITES"
Cabinetry,"WOOD, PLASTICS, AND COMPOSITES"
Blocking,"WOOD, PLASTICS, AND COMPOSITES"
Wood FramingRough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
Kitchen  Bath Cabinets  Material  Labor (thermofoil finish),"WOOD, PLASTICS, AND COMPOSITES"
Div 6  Wood Plastics and Composites  Comparable Pricing,"WOOD, PLASTICS, AND COMPOSITES"
Floor and Roof Trusses,"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry,"WOOD, PLASTICS, AND COMPOSITES"
#2  Frame a 2story Elevator shaft (incl ext finishes to match exist),"WOOD, PLASTICS, AND COMPOSITES"
Rough Carpentry Material  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
Trim Material,"WOOD, PLASTICS, AND COMPOSITES"
Guestroom Vanities,"WOOD, PLASTICS, AND COMPOSITES"
Interior Blocking  Office,"WOOD, PLASTICS, AND COMPOSITES"
Interior Trim Material  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
CARPENTRY,"WOOD, PLASTICS, AND COMPOSITES"
Trellis (Alternate Included: two wood pavilions),"WOOD, PLASTICS, AND COMPOSITES"
Framing,"WOOD, PLASTICS, AND COMPOSITES"
Rough Framing Material  Allowance,"WOOD, PLASTICS, AND COMPOSITES"
FramingCornice,"WOOD, PLASTICS, AND COMPOSITES"
Hardware Labor,"WOOD, PLASTICS, AND COMPOSITES"
Residential Millwork,"WOOD, PLASTICS, AND COMPOSITES"
CMU @ Dumpster & Thin Brick BK1,"WOOD, PLASTICS, AND COMPOSITES"
     Architectural Millwork,"WOOD, PLASTICS, AND COMPOSITES"
